run,nrmse,Glc,SugarP,PEP,Pyr,Lac,ATP,NAD,NADH
A1_fixed_theta_n3,0.568853,0.290253,0.334042,2.124634,0.388415,0.358284,0.374492,0.306327,0.374376
A5_unbounded_first_last_n10,0.593145,0.034004,0.504223,2.313494,0.314750,1.108513,0.239389,0.030426,0.200360
A3_neural_ode_gru_first_last_n1000,0.617403,0.030444,0.506189,0.586226,0.917449,2.021780,0.315822,0.462578,0.098740
A5_unbounded_first_last_n100,0.639281,0.029371,0.402206,3.738068,0.394997,0.309415,0.079627,0.021619,0.138946
A1_fixed_theta_first_last_n100,0.653294,0.238967,0.316007,2.794333,0.396450,0.406496,0.285523,0.137709,0.650867
A6_baseline_first_last_n100,0.678784,0.027777,0.187656,4.410299,0.365064,0.217456,0.097372,0.020393,0.104256
A7_l1reg_first_last_n100,0.704111,0.033002,0.201329,4.413918,0.605481,0.153607,0.089147,0.020733,0.115672
A1_fixed_theta_n100,0.711558,0.251346,0.262517,3.220683,0.398467,0.403427,0.290421,0.130384,0.735218
A3_neural_ode_gru_first_last_n100,0.768571,0.038389,0.445932,0.524462,0.574629,3.514588,0.399583,0.467386,0.183599
A7_l1reg_first_last_n10,0.772196,0.030223,0.260017,3.701589,1.070104,0.149574,0.214764,0.099046,0.652247
A6_baseline_first_last_n1000,0.866806,0.010380,0.191601,6.291796,0.140138,0.135462,0.114520,0.017700,0.032850
A9_neural_ode_correction_first_last_n3,0.902419,0.165749,0.820678,3.230769,1.485580,0.350143,0.496489,0.596553,0.073388
A5_unbounded_first_last_n1000,0.985308,0.008864,0.337689,6.797133,0.306685,0.318517,0.060617,0.017803,0.035160
A1_fixed_theta_first_last_n10,1.013376,0.324087,0.429527,4.791884,0.458596,0.401599,0.465676,0.162899,1.072741
A1_fixed_theta_n10,1.015159,0.331961,0.422290,4.775120,0.459984,0.401583,0.457245,0.167837,1.105256
A9_neural_ode_correction_first_last_n100,1.245927,0.041468,0.678843,2.864633,4.987702,0.433080,0.539856,0.306764,0.115072
A7_l1reg_first_last_n1000,1.291530,0.011844,0.219524,8.457683,1.118212,0.399968,0.080521,0.014782,0.029708
A1_fixed_theta_first_last_n1000,1.437364,0.050143,0.213396,10.091351,0.535444,0.201298,0.086742,0.107030,0.213510
A4_neural_ode_mlp_first_last_n100,1.811782,0.102215,0.940126,10.064970,0.752424,0.412304,1.086763,0.936321,0.199133
A9_neural_ode_correction_first_last_n10,2.395719,0.078368,0.699127,10.614308,4.394142,1.040369,0.659243,1.273087,0.407107
A4_neural_ode_mlp_first_last_n1000,2.911127,0.117379,0.938245,19.154120,0.538322,0.416241,0.726353,1.271819,0.126541
A2_sample_theta_first_last_n100,2.949237,0.037077,0.322513,21.955696,0.402466,0.415289,0.071984,0.071659,0.317213
A2_sample_theta_first_last_n1000,3.646212,0.052501,0.352785,27.413745,0.551093,0.433256,0.063001,0.102680,0.200633
A9_neural_ode_correction_first_last_n1000,5.577880,0.025361,0.749457,38.228620,4.018098,0.434839,0.537664,0.558461,0.070541
